location,date,year,month_num,month_name,day_num,precipitation,temp_max,temp_min,wind,weather
Seattle,"January 1, 2012",2012,1,January,1,0,12.8,5,4.7,drizzle
Seattle,"January 2, 2012",2012,1,January,2,10.9,10.6,2.8,4.5,rain
Seattle,"January 3, 2012",2012,1,January,3,0.8,11.7,7.2,2.3,rain
Seattle,"January 4, 2012",2012,1,January,4,20.3,12.2,5.6,4.7,rain
Seattle,"January 5, 2012",2012,1,January,5,1.3,8.9,2.8,6.1,rain
Seattle,"January 6, 2012",2012,1,January,6,2.5,4.4,2.2,2.2,rain
Seattle,"January 7, 2012",2012,1,January,7,0,7.2,2.8,2.3,rain
Seattle,"January 8, 2012",2012,1,January,8,0,10,2.8,2,sun
Seattle,"January 9, 2012",2012,1,January,9,4.3,9.4,5,3.4,rain
Seattle,"January 10, 2012",2012,1,January,10,1,6.1,0.6,3.4,rain
Seattle,"January 11, 2012",2012,1,January,11,0,6.1,-1.1,5.1,sun
Seattle,"January 12, 2012",2012,1,January,12,0,6.1,-1.7,1.9,sun
Seattle,"January 13, 2012",2012,1,January,13,0,5,-2.8,1.3,sun
Seattle,"January 14, 2012",2012,1,January,14,4.1,4.4,0.6,5.3,snow
Seattle,"January 15, 2012",2012,1,January,15,5.3,1.1,-3.3,3.2,snow
Seattle,"January 16, 2012",2012,1,January,16,2.5,1.7,-2.8,5,snow
Seattle,"January 17, 2012",2012,1,January,17,8.1,3.3,0,5.6,snow
Seattle,"January 18, 2012",2012,1,January,18,19.8,0,-2.8,5,snow
Seattle,"January 19, 2012",2012,1,January,19,15.2,-1.1,-2.8,1.6,snow
Seattle,"January 20, 2012",2012,1,January,20,13.5,7.2,-1.1,2.3,snow
Seattle,"January 21, 2012",2012,1,January,21,3,8.3,3.3,8.2,rain
Seattle,"January 22, 2012",2012,1,January,22,6.1,6.7,2.2,4.8,rain
Seattle,"January 23, 2012",2012,1,January,23,0,8.3,1.1,3.6,rain
Seattle,"January 24, 2012",2012,1,January,24,8.6,10,2.2,5.1,rain
Seattle,"January 25, 2012",2012,1,January,25,8.1,8.9,4.4,5.4,rain
Seattle,"January 26, 2012",2012,1,January,26,4.8,8.9,1.1,4.8,rain
Seattle,"January 27, 2012",2012,1,January,27,0,6.7,-2.2,1.4,drizzle
Seattle,"January 28, 2012",2012,1,January,28,0,6.7,0.6,2.2,rain
Seattle,"January 29, 2012",2012,1,January,29,27.7,9.4,3.9,4.5,rain
Seattle,"January 30, 2012",2012,1,January,30,3.6,8.3,6.1,5.1,rain
Seattle,"January 31, 2012",2012,1,January,31,1.8,9.4,6.1,3.9,rain
Seattle,"February 1, 2012",2012,2,February,1,13.5,8.9,3.3,2.7,rain
Seattle,"February 2, 2012",2012,2,February,2,0,8.3,1.7,2.6,sun
Seattle,"February 3, 2012",2012,2,February,3,0,14.4,2.2,5.3,sun
Seattle,"February 4, 2012",2012,2,February,4,0,15.6,5,4.3,sun
Seattle,"February 5, 2012",2012,2,February,5,0,13.9,1.7,2.9,sun
Seattle,"February 6, 2012",2012,2,February,6,0,16.1,1.7,5,sun
Seattle,"February 7, 2012",2012,2,February,7,0.3,15.6,7.8,5.3,rain
Seattle,"February 8, 2012",2012,2,February,8,2.8,10,5,2.7,rain
Seattle,"February 9, 2012",2012,2,February,9,2.5,11.1,7.8,2.4,rain
Seattle,"February 10, 2012",2012,2,February,10,2.5,12.8,6.7,3,rain
Seattle,"February 11, 2012",2012,2,February,11,0.8,8.9,5.6,3.4,rain
Seattle,"February 12, 2012",2012,2,February,12,1,8.3,5,1.3,rain
Seattle,"February 13, 2012",2012,2,February,13,11.4,7.2,4.4,1.4,rain
Seattle,"February 14, 2012",2012,2,February,14,2.5,6.7,1.1,3.1,rain
Seattle,"February 15, 2012",2012,2,February,15,0,7.2,0.6,1.8,drizzle
Seattle,"February 16, 2012",2012,2,February,16,1.8,7.2,3.3,2.1,rain
Seattle,"February 17, 2012",2012,2,February,17,17.3,10,4.4,3.4,rain
Seattle,"February 18, 2012",2012,2,February,18,6.4,6.7,3.9,8.1,rain
Seattle,"February 19, 2012",2012,2,February,19,0,6.7,2.2,4.7,sun
Seattle,"February 20, 2012",2012,2,February,20,3,7.8,1.7,2.9,rain
Seattle,"February 21, 2012",2012,2,February,21,0.8,10,7.8,7.5,rain
Seattle,"February 22, 2012",2012,2,February,22,8.6,10,2.8,5.9,rain
Seattle,"February 23, 2012",2012,2,February,23,0,8.3,2.8,3.9,sun
Seattle,"February 24, 2012",2012,2,February,24,11.4,6.7,4.4,3.5,rain
Seattle,"February 25, 2012",2012,2,February,25,0,7.2,2.8,6.4,rain
Seattle,"February 26, 2012",2012,2,February,26,1.3,5,-1.1,3.4,snow
Seattle,"February 27, 2012",2012,2,February,27,0,6.7,-2.2,3,sun
Seattle,"February 28, 2012",2012,2,February,28,3.6,6.7,-0.6,4.2,snow
Seattle,"February 29, 2012",2012,2,February,29,0.8,5,1.1,7,snow
Seattle,"March 1, 2012",2012,3,March,1,0,6.1,1.1,3.1,sun
Seattle,"March 2, 2012",2012,3,March,2,2,6.7,3.9,5.1,rain
Seattle,"March 3, 2012",2012,3,March,3,0,12.2,6.7,7,sun
Seattle,"March 4, 2012",2012,3,March,4,0,10.6,6.7,5.6,rain
Seattle,"March 5, 2012",2012,3,March,5,6.9,7.8,1.1,6.2,rain
Seattle,"March 6, 2012",2012,3,March,6,0.5,6.7,0,2.7,snow
Seattle,"March 7, 2012",2012,3,March,7,0,8.9,-1.7,2.7,sun
Seattle,"March 8, 2012",2012,3,March,8,0,15.6,0.6,2.5,sun
Seattle,"March 9, 2012",2012,3,March,9,3.6,9.4,5,2.8,rain
Seattle,"March 10, 2012",2012,3,March,10,10.4,7.2,6.1,3.4,rain
Seattle,"March 11, 2012",2012,3,March,11,13.7,6.7,2.8,5.8,rain
Seattle,"March 12, 2012",2012,3,March,12,19.3,8.3,0.6,6.2,snow
Seattle,"March 13, 2012",2012,3,March,13,9.4,5.6,0.6,5.3,snow
Seattle,"March 14, 2012",2012,3,March,14,8.6,7.8,1.1,4.7,rain
Seattle,"March 15, 2012",2012,3,March,15,23.9,11.1,5.6,5.8,snow
Seattle,"March 16, 2012",2012,3,March,16,8.4,8.9,3.9,5.1,rain
Seattle,"March 17, 2012",2012,3,March,17,9.4,10,0.6,3.8,snow
Seattle,"March 18, 2012",2012,3,March,18,3.6,5,-0.6,2.7,rain
Seattle,"March 19, 2012",2012,3,March,19,2,7.2,-1.1,3,rain
Seattle,"March 20, 2012",2012,3,March,20,3.6,7.8,2.2,6.4,rain
Seattle,"March 21, 2012",2012,3,March,21,1.3,8.9,1.1,2.5,rain
Seattle,"March 22, 2012",2012,3,March,22,4.1,10,1.7,2.1,rain
Seattle,"March 23, 2012",2012,3,March,23,0,12.2,0.6,2.8,sun
Seattle,"March 24, 2012",2012,3,March,24,0,15,3.3,5.2,sun
Seattle,"March 25, 2012",2012,3,March,25,0,13.3,2.2,2.7,rain
Seattle,"March 26, 2012",2012,3,March,26,0,12.8,6.1,4.3,drizzle
Seattle,"March 27, 2012",2012,3,March,27,4.8,14.4,6.7,3.8,rain
Seattle,"March 28, 2012",2012,3,March,28,1.3,10.6,7.2,5.9,rain
Seattle,"March 29, 2012",2012,3,March,29,27.4,10,6.1,4.4,rain
Seattle,"March 30, 2012",2012,3,March,30,5.6,9.4,5,4.7,rain
Seattle,"March 31, 2012",2012,3,March,31,13.2,10,2.8,3.4,rain
Seattle,"April 1, 2012",2012,4,April,1,1.5,8.9,4.4,6.8,rain
Seattle,"April 2, 2012",2012,4,April,2,0,16.7,4.4,3.1,sun
Seattle,"April 3, 2012",2012,4,April,3,1.5,11.7,3.3,3.1,rain
Seattle,"April 4, 2012",2012,4,April,4,0,10.6,2.8,2.1,sun
Seattle,"April 5, 2012",2012,4,April,5,4.6,9.4,2.8,1.8,snow
Seattle,"April 6, 2012",2012,4,April,6,0.3,11.1,3.3,2.6,rain
Seattle,"April 7, 2012",2012,4,April,7,0,16.1,1.7,4.3,sun
Seattle,"April 8, 2012",2012,4,April,8,0,21.1,7.2,4.1,sun
Seattle,"April 9, 2012",2012,4,April,9,0,20,6.1,2.1,sun
Seattle,"April 10, 2012",2012,4,April,10,0,17.8,8.9,3.2,rain
Seattle,"April 11, 2012",2012,4,April,11,2.3,11.1,7.2,2.6,rain
Seattle,"April 12, 2012",2012,4,April,12,0.5,13.9,5.6,2.6,rain
Seattle,"April 13, 2012",2012,4,April,13,0,15,3.9,4,drizzle
Seattle,"April 14, 2012",2012,4,April,14,0,15.6,3.3,3,sun
Seattle,"April 15, 2012",2012,4,April,15,0,16.1,7.2,2.9,rain
Seattle,"April 16, 2012",2012,4,April,16,8.1,13.3,6.7,5.8,rain
Seattle,"April 17, 2012",2012,4,April,17,1.8,10,4.4,2,rain
Seattle,"April 18, 2012",2012,4,April,18,1.8,13.3,7.2,3.9,rain
Seattle,"April 19, 2012",2012,4,April,19,10.9,13.9,5,2.6,rain
Seattle,"April 20, 2012",2012,4,April,20,6.6,13.3,6.7,2.7,rain
Seattle,"April 21, 2012",2012,4,April,21,0,20,4.4,2.3,sun
Seattle,"April 22, 2012",2012,4,April,22,0,23.3,8.3,2.6,rain
Seattle,"April 23, 2012",2012,4,April,23,0,21.7,8.9,3.5,sun
Seattle,"April 24, 2012",2012,4,April,24,4.3,13.9,10,2.8,rain
Seattle,"April 25, 2012",2012,4,April,25,10.7,16.7,8.9,2.6,rain
Seattle,"April 26, 2012",2012,4,April,26,3.8,13.9,6.7,5.2,rain
Seattle,"April 27, 2012",2012,4,April,27,0.8,13.3,6.1,4.8,rain
Seattle,"April 28, 2012",2012,4,April,28,0,16.1,8.3,2.5,drizzle
Seattle,"April 29, 2012",2012,4,April,29,4.3,15.6,8.9,1.6,rain
Seattle,"April 30, 2012",2012,4,April,30,4.3,12.8,7.2,8,rain
Seattle,"May 1, 2012",2012,5,May,1,0.5,11.7,6.1,6.4,rain
Seattle,"May 2, 2012",2012,5,May,2,0.5,13.3,5.6,2.5,rain
Seattle,"May 3, 2012",2012,5,May,3,18.5,11.1,7.2,3.4,rain
Seattle,"May 4, 2012",2012,5,May,4,1.8,12.2,6.1,4.6,rain
Seattle,"May 5, 2012",2012,5,May,5,0,13.3,5,2.3,sun
Seattle,"May 6, 2012",2012,5,May,6,0,17.8,5,2.4,sun
Seattle,"May 7, 2012",2012,5,May,7,0,23.9,6.1,2.2,sun
Seattle,"May 8, 2012",2012,5,May,8,0,18.3,9.4,3,sun
Seattle,"May 9, 2012",2012,5,May,9,0,13.3,6.7,3.9,rain
Seattle,"May 10, 2012",2012,5,May,10,0,14.4,3.9,3,sun
Seattle,"May 11, 2012",2012,5,May,11,0,18.3,4.4,4.3,sun
Seattle,"May 12, 2012",2012,5,May,12,0,24.4,6.7,3.4,sun
Seattle,"May 13, 2012",2012,5,May,13,0,25.6,9.4,4.2,sun
Seattle,"May 14, 2012",2012,5,May,14,0,26.7,12.8,3.8,sun
Seattle,"May 15, 2012",2012,5,May,15,0,24.4,9.4,4.1,drizzle
Seattle,"May 16, 2012",2012,5,May,16,0,19.4,9.4,3.5,sun
Seattle,"May 17, 2012",2012,5,May,17,0,17.8,6.7,2.9,rain
Seattle,"May 18, 2012",2012,5,May,18,0,15.6,7.8,3.1,rain
Seattle,"May 19, 2012",2012,5,May,19,0,19.4,7.2,1.5,sun
Seattle,"May 20, 2012",2012,5,May,20,6.4,14.4,11.7,1.3,rain
Seattle,"May 21, 2012",2012,5,May,21,14,16.7,10,4,rain
Seattle,"May 22, 2012",2012,5,May,22,6.1,12.8,8.9,4.8,rain
Seattle,"May 23, 2012",2012,5,May,23,0.3,14.4,8.9,6.3,rain
Seattle,"May 24, 2012",2012,5,May,24,0,17.2,8.9,3.3,rain
Seattle,"May 25, 2012",2012,5,May,25,0,22.2,8.9,3.1,rain
Seattle,"May 26, 2012",2012,5,May,26,0,22.2,8.9,3.6,sun
Seattle,"May 27, 2012",2012,5,May,27,0,17.2,11.7,3.7,sun
Seattle,"May 28, 2012",2012,5,May,28,0,16.7,10,3.4,rain
Seattle,"May 29, 2012",2012,5,May,29,0,16.1,7.8,1.8,sun
Seattle,"May 30, 2012",2012,5,May,30,0.3,18.9,11.1,1.5,rain
Seattle,"May 31, 2012",2012,5,May,31,3.8,17.8,12.2,2.7,rain
Seattle,"June 1, 2012",2012,6,June,1,6.6,20,12.8,3.7,rain
Seattle,"June 2, 2012",2012,6,June,2,0.3,18.9,10.6,3.7,rain
Seattle,"June 3, 2012",2012,6,June,3,0,17.2,9.4,2.9,sun
Seattle,"June 4, 2012",2012,6,June,4,1.3,12.8,8.9,3.1,rain
Seattle,"June 5, 2012",2012,6,June,5,16,13.3,8.3,3.3,rain
Seattle,"June 6, 2012",2012,6,June,6,0,16.1,6.1,3.4,sun
Seattle,"June 7, 2012",2012,6,June,7,16.5,16.1,8.9,3.5,rain
Seattle,"June 8, 2012",2012,6,June,8,1.5,15,8.3,3,rain
Seattle,"June 9, 2012",2012,6,June,9,0,17.2,8.3,4.7,rain
Seattle,"June 10, 2012",2012,6,June,10,0,18.9,10,2.9,sun
Seattle,"June 11, 2012",2012,6,June,11,0,23.3,10,1.8,rain
Seattle,"June 12, 2012",2012,6,June,12,0.8,18.3,12.8,3.9,rain
Seattle,"June 13, 2012",2012,6,June,13,0,16.1,11.1,4.3,sun
Seattle,"June 14, 2012",2012,6,June,14,0,17.2,10,2.7,sun
Seattle,"June 15, 2012",2012,6,June,15,0,22.2,9.4,1.7,sun
Seattle,"June 16, 2012",2012,6,June,16,0,21.1,15,4.1,rain
Seattle,"June 17, 2012",2012,6,June,17,0,18.9,11.7,6.4,sun
Seattle,"June 18, 2012",2012,6,June,18,3,17.2,10,3.8,rain
Seattle,"June 19, 2012",2012,6,June,19,1,19.4,10,3,rain
Seattle,"June 20, 2012",2012,6,June,20,0,24.4,10,3,sun
Seattle,"June 21, 2012",2012,6,June,21,0,23.9,11.7,2.1,sun
Seattle,"June 22, 2012",2012,6,June,22,15.7,13.9,11.7,1.9,rain
Seattle,"June 23, 2012",2012,6,June,23,8.6,15.6,9.4,2.5,rain
Seattle,"June 24, 2012",2012,6,June,24,0,19.4,9.4,2,drizzle
Seattle,"June 25, 2012",2012,6,June,25,0.5,19.4,11.1,3.1,rain
Seattle,"June 26, 2012",2012,6,June,26,0,18.3,10.6,3.4,rain
Seattle,"June 27, 2012",2012,6,June,27,0,22.8,8.9,1.8,sun
Seattle,"June 28, 2012",2012,6,June,28,0,22.2,11.7,2.5,rain
Seattle,"June 29, 2012",2012,6,June,29,0.3,21.7,15,1.9,rain
Seattle,"June 30, 2012",2012,6,June,30,3,20,13.3,2.4,rain
Seattle,"July 1, 2012",2012,7,July,1,0,20,12.2,2.3,rain
Seattle,"July 2, 2012",2012,7,July,2,2,18.9,11.7,2.1,rain
Seattle,"July 3, 2012",2012,7,July,3,5.8,18.3,10.6,6,rain
Seattle,"July 4, 2012",2012,7,July,4,0,20.6,9.4,3.8,sun
Seattle,"July 5, 2012",2012,7,July,5,0,24.4,10.6,3.1,drizzle
Seattle,"July 6, 2012",2012,7,July,6,0,25,11.1,2.1,sun
Seattle,"July 7, 2012",2012,7,July,7,0,26.7,12.8,3.8,sun
Seattle,"July 8, 2012",2012,7,July,8,0,28.3,14.4,2.8,rain
Seattle,"July 9, 2012",2012,7,July,9,1.5,25,12.8,2,rain
Seattle,"July 10, 2012",2012,7,July,10,0,23.9,11.1,2.3,drizzle
Seattle,"July 11, 2012",2012,7,July,11,0,27.8,13.3,2.9,fog
Seattle,"July 12, 2012",2012,7,July,12,0,25.6,13.3,2.7,drizzle
Seattle,"July 13, 2012",2012,7,July,13,0.5,23.3,13.9,2.2,rain
Seattle,"July 14, 2012",2012,7,July,14,0,25,15,2.2,rain
Seattle,"July 15, 2012",2012,7,July,15,0,18.9,13.3,3.8,rain
Seattle,"July 16, 2012",2012,7,July,16,0.3,26.1,13.3,2.5,rain
Seattle,"July 17, 2012",2012,7,July,17,0,21.7,15,2.6,sun
Seattle,"July 18, 2012",2012,7,July,18,0,21.1,14.4,2.9,sun
Seattle,"July 19, 2012",2012,7,July,19,0,25,14.4,2.2,sun
Seattle,"July 20, 2012",2012,7,July,20,15.2,19.4,13.9,4,rain
Seattle,"July 21, 2012",2012,7,July,21,0,23.9,13.9,2.3,sun
Seattle,"July 22, 2012",2012,7,July,22,1,20.6,12.2,3.9,rain
Seattle,"July 23, 2012",2012,7,July,23,0,18.9,11.1,3.3,rain
Seattle,"July 24, 2012",2012,7,July,24,0,23.3,12.2,4.3,sun
Seattle,"July 25, 2012",2012,7,July,25,0,26.7,12.8,2.6,sun
Seattle,"July 26, 2012",2012,7,July,26,0,25.6,12.8,2.2,drizzle
Seattle,"July 27, 2012",2012,7,July,27,0,18.9,13.9,2.8,drizzle
Seattle,"July 28, 2012",2012,7,July,28,0,22.2,13.3,1.7,drizzle
Seattle,"July 29, 2012",2012,7,July,29,0,22.8,15,2,sun
Seattle,"July 30, 2012",2012,7,July,30,0,19.4,13.3,3,sun
Seattle,"July 31, 2012",2012,7,July,31,0,22.8,13.9,2.8,sun
Seattle,"August 1, 2012",2012,8,August,1,0,23.9,13.3,2.2,drizzle
Seattle,"August 2, 2012",2012,8,August,2,0,23.3,12.2,2.5,sun
Seattle,"August 3, 2012",2012,8,August,3,0,27.2,12.8,3.9,sun
Seattle,"August 4, 2012",2012,8,August,4,0,33.9,16.7,3.7,sun
Seattle,"August 5, 2012",2012,8,August,5,0,33.9,17.8,1.9,sun
Seattle,"August 6, 2012",2012,8,August,6,0,28.3,15.6,2.5,rain
Seattle,"August 7, 2012",2012,8,August,7,0,21.1,15,2.6,drizzle
Seattle,"August 8, 2012",2012,8,August,8,0,22.2,15,3.1,sun
Seattle,"August 9, 2012",2012,8,August,9,0,24.4,14.4,3.8,drizzle
Seattle,"August 10, 2012",2012,8,August,10,0,25.6,12.2,2.3,sun
Seattle,"August 11, 2012",2012,8,August,11,0,28.3,13.3,2.5,sun
Seattle,"August 12, 2012",2012,8,August,12,0,30.6,15,3,sun
Seattle,"August 13, 2012",2012,8,August,13,0,30.6,15,2.8,sun
Seattle,"August 14, 2012",2012,8,August,14,0,28.9,13.9,2.8,sun
Seattle,"August 15, 2012",2012,8,August,15,0,31.1,16.7,4.7,sun
Seattle,"August 16, 2012",2012,8,August,16,0,34.4,18.3,2.8,sun
Seattle,"August 17, 2012",2012,8,August,17,0,32.8,16.1,1.8,sun
Seattle,"August 18, 2012",2012,8,August,18,0,21.7,14.4,3,drizzle
Seattle,"August 19, 2012",2012,8,August,19,0,23.3,15,2.7,drizzle
Seattle,"August 20, 2012",2012,8,August,20,0,25.6,15,1.9,sun
Seattle,"August 21, 2012",2012,8,August,21,0,23.3,13.3,3,rain
Seattle,"August 22, 2012",2012,8,August,22,0,22.2,13.3,2.3,sun
Seattle,"August 23, 2012",2012,8,August,23,0,21.1,13.9,3.8,sun
Seattle,"August 24, 2012",2012,8,August,24,0,22.2,10,3.3,sun
Seattle,"August 25, 2012",2012,8,August,25,0,26.1,11.7,3.2,sun
Seattle,"August 26, 2012",2012,8,August,26,0,21.1,12.2,3.4,sun
Seattle,"August 27, 2012",2012,8,August,27,0,23.9,13.3,1.8,sun
Seattle,"August 28, 2012",2012,8,August,28,0,22.8,12.2,3.2,sun
Seattle,"August 29, 2012",2012,8,August,29,0,22.8,13.3,2.4,sun
Seattle,"August 30, 2012",2012,8,August,30,0,22.8,12.8,1.9,sun
Seattle,"August 31, 2012",2012,8,August,31,0,22.2,10.6,2.9,sun
Seattle,"September 1, 2012",2012,9,September,1,0,21.7,10.6,2.1,sun
Seattle,"September 2, 2012",2012,9,September,2,0,21.1,10,2,sun
Seattle,"September 3, 2012",2012,9,September,3,0,22.8,12.8,3.3,sun
Seattle,"September 4, 2012",2012,9,September,4,0,24.4,11.1,3.1,sun
Seattle,"September 5, 2012",2012,9,September,5,0,26.1,11.7,2.6,sun
Seattle,"September 6, 2012",2012,9,September,6,0,28.3,14.4,4.2,sun
Seattle,"September 7, 2012",2012,9,September,7,0,32.2,13.3,3.1,sun
Seattle,"September 8, 2012",2012,9,September,8,0,25,13.3,3,sun
Seattle,"September 9, 2012",2012,9,September,9,0.3,18.9,13.9,5,rain
Seattle,"September 10, 2012",2012,9,September,10,0.3,20,11.7,3.9,rain
Seattle,"September 11, 2012",2012,9,September,11,0,20,8.9,4.2,sun
Seattle,"September 12, 2012",2012,9,September,12,0,22.2,10,5.6,sun
Seattle,"September 13, 2012",2012,9,September,13,0,27.8,11.7,3.6,sun
Seattle,"September 14, 2012",2012,9,September,14,0,26.1,11.1,1.5,sun
Seattle,"September 15, 2012",2012,9,September,15,0,22.2,11.1,1.9,sun
Seattle,"September 16, 2012",2012,9,September,16,0,24.4,9.4,2.3,sun
